id,code,section,parameter_name,unit,source_pd,source_rd,source_id,trigger_logic,review_priority,legal_criticality,data_type,is_active
121,ODI-121,ОДИ,Количество и габариты парковочных мест для инвалидов,шт. / м,Схема парковочных зон (ОДИ/СПЗУ),План благоустройства; Разметка (ПП),Исполнительная схема разметки,Сокращение количества мест для инвалидов; уменьшение ширины места < 3.5 м.,HIGH,Критическое (приостановка работ),number,TRUE
122,ODI-122,ОДИ,Наличие и расстановка тактильно-контрастных указателей,—,Планы этажей и территории (ОДИ),Планы покрытий; Планы полов (ГП/АР),Акты АОСР на устройство полов; Исполнительные схемы,Отсутствие в РД предупреждающих тактильных полос перед лестницами и дверями.,MEDIUM,Существенное (предписание),presence,TRUE
123,ODI-123,ОДИ,Состав систем двухсторонней связи и вызова помощника,—,Структурные схемы СС/ОДИ,Планы кабельных сетей; Спецификация (СС),Паспорта на оборудование; Акты ПНР,Отсутствие в РД кнопок вызова персонала в санузлах или на входе в здание.,HIGH,Критическое (приостановка работ),presence,TRUE
124,ZU-124,ЗУ,Класс энергетической эффективности здания,Буква,Энергетический паспорт (ЗУ),"Лист ""Общие данные""; Маркировка класса (АР/ОВ)",Фактический энергопаспорт (по замерам),Снижение проектного класса энергоэффективности в РД/ИД.,HIGH,Критическое (приостановка работ),enum,TRUE
125,ZU-125,ЗУ,Толщина теплоизоляционного слоя наружных стен,мм,Теплоизоляционный расчет; Разрезы стен (ЗУ/АР),Спецификация фасадных систем; Разрезы стен (АР),Акты АОСР на утепление; Паспорта на утеплитель,"Уменьшение толщины утеплителя в РД, ведущее к падению сопротивления теплопередаче.",HIGH,Критическое (приостановка работ),number,TRUE
126,ZU-126,ЗУ,Коэффициент теплопроводности (λ) утеплителя стен,Вт/(м·С),Теплоизоляционный расчет; Марка материала (ЗУ),Спецификация материалов стен; Фасадов (АР),Паспорта качества; Сертификаты на утеплитель,Замена утеплителя на аналог с более высоким коэффициентом теплопроводности.,HIGH,Критическое (приостановка работ),number,TRUE
127,ZU-127,ЗУ,Коэффициент сопротивления теплопередаче окон (Ro),м²·С/Вт,Требования к светопрозрачным конструкциям (ЗУ),Спецификация окон; Профили/стеклопакеты (АР),Сертификаты; Паспорта на окна,Ухудшение теплозащитных свойств оконных блоков в РД/ИД.,HIGH,Критическое (приостановка работ),number,TRUE
128,ZU-128,ЗУ,Толщина утеплителя чердачных перекрытий / кровли,мм,Теплоизоляционный расчет; Разрезы кровли (ЗУ/АР),План кровли; Детальные узлы (АР),Акты АОСР на устройство кровли; Паспорта качества,Уменьшение проектного слоя кровельного утеплителя в РД.,HIGH,Критическое (приостановка работ),number,TRUE
129,ZU-129,ЗУ,Наличие приборов учета расхода энергоресурсов,шт.,Описание систем учета (ЗУ),Схемы узлов учета (ИОС1/ИОС2/ОВ),Акты допуска приборов; Паспорта счетчиков,"Отсутствие в РД общедомовых/поквартирных счетчиков (электричество, вода, тепло).",MEDIUM,Существенное (предписание),presence,TRUE
130,ZU-130,ЗУ,Установка энергосберегающего осветительного оборудования,—,Спецификации светильников (ЗУ/ИОС1),Спецификация оборудования (ЭОМ),Сертификаты; Накладные; Фотофиксация,Замена светодиодных светильников (LED) на люминесцентные или лампы накаливания.,MEDIUM,Существенное (предписание),exact_field,TRUE
131,ZU-131,ЗУ,Удельный годовой расход тепловой энергии на отопление,кВт·ч/м²,Итоговая таблица Паспорта ЗУ,"Лист ""Общие данные""; Таблица нагрузок (ОВ)",Фактический энергопаспорт,Превышение удельного годового расхода энергии в РД над лимитом из ПД.,HIGH,Критическое (приостановка работ),number,TRUE
132,SM-132,СМ,Итоговая стоимость по Сводному сметному расчету (ССР),тыс. руб.,Сводный сметный расчет (Главы 1-12) (СМ),Сводная объектная смета (на основании РД),Справка о стоимости выполненных работ (КС-3),Превышение итоговой стоимости строительства в РД/ИД над утвержденной ПД > 5%.,MEDIUM,Существенное (предписание),number,TRUE
