id,code,section,parameter_name,unit,source_pd,source_rd,source_id,trigger_logic,review_priority,legal_criticality,data_type,is_active
51,AR-051,АР,Параметры естественного освещения (КЕО),%,Расчет КЕО (АР),Спецификация окон; Планы этажей (АР),Заключение экспертизы; Лабораторные замеры КЕО,"Изменение конфигурации оконных переплетов в РД, снижающее светопропускание.",MEDIUM,Существенное (предписание),number,TRUE
52,AR-052,АР,Цветовое решение и материалы облицовки фасадов,RAL / Артикул,Чертежи фасадов в цвете (Паспорт фасадов),Рабочие чертежи фасадов; Раскладка плитки (АР),Паспорта качества на фасадные панели; Акты АОСР,Изменение колористического решения фасада в РД без согласования.,MEDIUM,Существенное (предписание),exact_field,TRUE
53,AR-053,АР,Конструктивные мероприятия по защите от шума,—,Текст АР: Звукоизоляция перегородок,Чертежи деформационных швов; Прокладки (АР),Акты АОСР на устройство прокладок,Отсутствие в РД демпферных лент в местах сопряжения перегородок и перекрытий.,MEDIUM,Существенное (предписание),presence,TRUE
54,KR-054,КР,Шаг и привязка координационных осей несущего каркаса,мм,Схема расположения осей (КР),Разбивочные планы фундаментов; Стен (КЖ/КМ),Исполнительная геодезическая схема осей,Самовольное изменение шага колонн или сдвиг осей в РД/ИД.,HIGH,Критическое (приостановка работ),number,TRUE
55,KR-055,КР,Класс прочности бетона монолитных конструкций,Марка (B),Общие данные; Спецификация материалов (КР),Общие указания; Спецификация элементов (КЖ),Журнал бетонных работ; Паспорта на БСГ; Протоколы испытаний,"Понижение класса бетона несущих элементов (например, B35 на B30) в РД/ИД.",HIGH,Критическое (приостановка работ),enum,TRUE
56,KR-056,КР,Марка стали и класс прочности металлопроката,Марка (С),Текст КР; Спецификация металлопроката,Ведомости материалов; Спецификация (КМ/КМД),Журнал сварочных работ; Сертификаты на металл,"Подмена марки стали на менее прочную (например, С345 на С245).",HIGH,Критическое (приостановка работ),number,TRUE
57,KR-057,КР,Марка и класс прочности рабочей арматуры,Класс (А),Общие указания; Спецификация (КР),Общие указания; Ведомость расхода стали (КЖ),Акты АОСР на армирование; Сертификаты на сталь,"Замена класса арматуры на менее пластичный (например, А500С на А400).",HIGH,Критическое (приостановка работ),number,TRUE
58,KR-058,КР,Толщина монолитной фундаментной плиты / ростверка,мм,Опалубочный чертеж фундамента (КР),Опалубочные чертежи плиты; Разрезы (КЖ),Исполнительная геодезическая схема нивелировки верха/низа плиты,Уменьшение проектной толщины плиты в РД или по факту заливки (ИД).,HIGH,Критическое (приостановка работ),number,TRUE
59,KR-059,КР,Толщина монолитных плит перекрытий и покрытия,мм,Опалубочные схемы перекрытий (КР),Опалубочные чертежи; Разрезы (КЖ),Исполнительная геодезическая схема нивелировки поверхности плит,Уменьшение конструктивной толщины диска перекрытия (риск деформаций).,HIGH,Критическое (приостановка работ),number,TRUE
60,KR-060,КР,Геометрические сечения несущих колонн и пилонов,мм²,Схемы расположения; Сечения (КР),Опалубочные чертежи колонн; Ведомости (КЖ),Исполнительная схема колонн (промеры сечений),Уменьшение площади поперечного сечения несущей вертикальной конструкции.,HIGH,Критическое (приостановка работ),number,TRUE
61,KR-061,КР,Толщина несущих монолитных стен (ядра жесткости),мм,Схемы расположения стен; Разрезы (КР),Опалубочные чертежи стен; Шахт (КЖ),Исполнительная геодезическая схема стен (толщины),Уменьшение толщины стен лифтовых шахт или пилонов диафрагм жесткости.,HIGH,Критическое (приостановка работ),number,TRUE
62,KR-062,КР,Диаметр продольной (рабочей) арматуры в колоннах/пилонах,мм,Схемы армирования (КР),Спецификации армирования (КЖ),Акты АОСР на армирование (вертикальные элементы),Занижение диаметра продольных арматурных стержней в спецификациях РД.,HIGH,Критическое (приостановка работ),enum,TRUE
63,KR-063,КР,Наличие и конструктивное исполнение деформационных швов,—,Схема расположения швов (КР),Чертежи узлов температурных швов (КЖ/КМ),Акты АОСР на устройство швов,"Отсутствие, исключение или конструктивное искажение узла шва в РД.",HIGH,Критическое (приостановка работ),presence,TRUE
64,KR-064,КР,Привязки и габариты лифтовых шахт,мм,Планы перекрытий; Отверстия (КР),Чертежи лифтовых шахт; Закладные (КЖ),Исполнительная геодезическая схема шахт,Сужение шахты или смещение закладных элементов в РД (риск монтажа лифта).,HIGH,Критическое (приостановка работ),number,TRUE
65,KR-065,КР,Схемы расположения и площади технологических проемов,м²,Планы перекрытий; Отверстия (КР),Чертежи планов перекрытий; Закладные (КЖ),Исполнительная схема шахт,Самовольная заделка крупных проемов в РД без обрамляющего армирования.,HIGH,Критическое (приостановка работ),number,TRUE
66,KR-066,КР,Антикоррозионная и огнезащитная обработка конструкций,Марка / Толщина,Требования к защите (КР),Спецификация; Указания по защите (КЖ/КМ),Акты АОСР на нанесение; Паспорта составов; Замеры слоя,Замена состава на менее огнестойкий (снижение предела REI).,HIGH,Критическое (приостановка работ),enum,TRUE
67,KR-067,КР,"Ведомости расхода материалов (бетон, сталь)",м³ / т,Сводные таблицы расхода (КР),Ведомости расхода стали (ВРС) (КЖ/КМ),Общий журнал работ; Реестр накладных КС-2,"Итоговое расхождение объемов материалов между ПД, РД и ИД > 2%.",MEDIUM,Существенное (предписание),number,TRUE
68,IOS1-068,ИОС1,Номинальная аппаратная защита ВРУ/ГРЩ,А (Ампер),Принципиальные схемы сетей (ИОС1),Схемы ВРУ/ГРЩ; Номиналы автоматов (ЭОМ),Технические паспорта щитов; Акты ПНР,Занижение или завышение токов уставки в РД (риск пожара или ложных отключений).,HIGH,Критическое (приостановка работ),enum,TRUE
69,IOS1-069,ИОС1,Сечение жил и маркировка распределительных кабелей,мм²,Схемы распределительных сетей; Спецификация (ИОС1),Кабельные журналы; Поэтажные планы (ЭОМ/ЭМ),Акты АОСР на прокладку; Протоколы изоляции,"Занижение сечения кабелей или подмена негорючих марок (например, FRLS на обычный LS).",HIGH,Критическое (приостановка работ),enum,TRUE
70,IOS1-070,ИОС1,Параметры и контуры заземления и молниезащиты,Ом / мм²,Схемы контуров заземления (ИОС1),Расходные схемы; Схемы заземления (ЭГ/ЭМ),Акты АОСР на заземление; Протоколы сопротивления,Уменьшение количества заземлителей или исключение элементов молниезащиты в РД.,HIGH,Критическое (приостановка работ),number,TRUE
71,IOS2-071,ИОС2,Диаметры стояков и разводящих трубопроводов В1/Т3,мм,Принципиальные схемы ХВС/ГВС (ИОС2),Планы разводки; Аксонометрия; Спецификация труб (ВК),Исполнительные схемы В1/Т3 (с диаметрами),Уменьшение диаметров стояков или магистралей ХВС/ГВС в РД/ИД.,HIGH,Критическое (приостановка работ),number,TRUE
72,IOS2-072,ИОС2,Материал и класс давления напорных труб В1/Т3,Марка,Спецификация материалов (ИОС2),Спецификация оборудования (ВК),Паспорта и сертификаты на трубы,Подмена оцинкованных/чугунных труб на полипропилен без перерасчета расширения.,MEDIUM,Существенное (предписание),number,TRUE
73,IOS2-073,ИОС2,Характеристики насосных станций хоз-питьевого водоснабжения,м³/ч / м / кВт,Схемы насосных станций; Параметры (ИОС2),Чертежи насосных станций; Спецификация (ВК),Технические паспорта; Акты индивидуальных испытаний,Занижение рабочих параметров закупаемого насосного оборудования в РД.,HIGH,Критическое (приостановка работ),enum,TRUE
74,IOS3-074,ИОС3,Диаметры выпусков и магистралей К1/К2,мм,Принципиальные схемы канализации (ИОС3),Планы подвала; Аксонометрия К1/К2 (ВК),Исполнительные схемы К1/К2 (диаметры),Уменьшение диаметров выпусков канализации из здания в РД (риск засоров).,HIGH,Критическое (приостановка работ),number,TRUE
75,IOS3-075,ИОС3,Материал и тип канализационных труб и фасонных частей,Марка,Спецификация материалов (ИОС3),Спецификация оборудования (ВК/НВК),Сертификаты; Накладные на трубы,Самовольная замена малошумных или чугунных труб на тонкостенный ПВХ.,MEDIUM,Существенное (предписание),number,TRUE
76,IOS4-076,ИОС4,"Диаметры магистралей и стояков отопления (Т1, Т2)",мм,Принципиальные схемы отопления (ИОС4),Поэтажные планы; Аксонометрия; Спецификация (ОВ),Исполнительные схемы отопления (диаметры),"Изменение диаметров Т1/Т2, нарушающее гидравлическую увязку системы.",HIGH,Критическое (приостановка работ),number,TRUE
77,IOS4-077,ИОС4,Технические параметры отопительных приборов (радиаторов),Вт / шт.,Спецификация оборудования; Типы радиаторов (ИОС4),Спецификация оборудования (ОВ),Паспорта на радиаторы; Акты тепловых испытаний,Сокращение количества секций или замена на модели с меньшей теплоотдачей.,HIGH,Критическое (приостановка работ),number,TRUE
78,IOS4-078,ИОС4,Сечения и геометрия воздуховодов общеобменной вентиляции,мм²,Принципиальные схемы вентиляции (ИОС4),Поэтажные планы; Разрезы; Спецификация (ОВ),Исполнительные схемы вентиляции (геометрия коробов),"Уменьшение площади сечения воздуховода в РД (падение объема воздуха, рост шума).",HIGH,Критическое (приостановка работ),number,TRUE
79,IOS4-079,ИОС4,Характеристики вентиляторов общеобменной вентиляции,м³/ч / Па / кВт,Спецификация; Мощность вентиляторов (ИОС4),Таблицы систем; Спецификация (ОВ),Технические паспорта; Паспорта вентсистем,Подмена установок на аналоги с меньшей кратностью воздухообмена.,HIGH,Критическое (приостановка работ),number,TRUE
80,IOS5-080,ИОС5,Состав и емкость систем пожарной сигнализации (АПС),шт. / зоны,Структурная схема АПС (ИОС5/ППМ),Поэтажные планы; Схемы расстановки (СС/АПС),Паспорта на датчики; Исполнительные схемы шлейфов,Сокращение количества извещателей в РД или нарушение расстояний между ними.,HIGH,Критическое (приостановка работ),number,TRUE
81,POS-081,ПОС,Границы опасных зон работы грузоподъемных кранов,м,Строительный генплан; Радиусы (ПОС),Строительный план; Расчетные зоны (ППР),Общий журнал работ; Разбивка ограждений (ОКР),Выход опасной зоны работы стрелы крана за границы участка или на жилые здания.,HIGH,Критическое (приостановка работ),number,TRUE
82,POS-082,ПОС,Продолжительность этапов строительства (Календарный график),дни,Текст ПОС; Нормативный срок; Календарный план,Укрупненный график СМР (ППР),Общий журнал работ (даты начала/окончания этапов),Превышение продолжительности критического этапа в графике РД > 10%.,MEDIUM,Существенное (предписание),number,TRUE
83,POS-083,ПОС,Посадка и габариты временных зданий и сооружений,м,Экспликация временных зданий (ПОС),Строительный план (ППР),Исполнительная геодезическая съемка (расположение),Размещение бытовок в охранных зонах сетей или с нарушением пожарных разрывов.,HIGH,Критическое (приостановка работ),number,TRUE
84,POS-084,ПОС,Схемы движения и ширина временных автодорог,м,Строительный генплан; Ширина проездов (ПОС),Схемы движения транспорта (ППР),Исполнительная съемка дорог (фактические обмеры),Сужение временных дорог < 3.5-4.5 м (нарушение ПОС).,MEDIUM,Существенное (предписание),number,TRUE
85,POS-085,ПОС,Места размещения площадок складирования материалов,—,Строительный генплан; Зоны складирования (ПОС),Зоны складирования (ППР),Общий журнал работ; Фотофиксация (ОКР),Размещение тяжелых конструкций в зоне откосов котлована или на непредусмотренных перекрытиях.,HIGH,Критическое (приостановка работ),exact_field,TRUE
86,POS-086,ПОС,Потребность в кадрах (Максимальная численность),чел.,Расчет движения рабочей силы (ПОС),График движения рабочих (ППР),Журнал инструктажей; Данные ККУД на КПП,Превышение пиковой численности персонала в РД над вместимостью бытового городка.,MEDIUM,Существенное (предписание),number,TRUE
87,POS-087,ПОС,Технологическая последовательность возведения,—,Текст ПОС: Методы производства работ,Технологические карты (ППР),Общий журнал работ (записи о ходе работ),"Самовольное изменение критических технологий (например, монолит на сборный ЖБ).",HIGH,Критическое (приостановка работ),exact_field,TRUE
88,POS-088,ПОС,Точки подключения и мощности временных ресурсов,кВт / м³,Текст и графика ПОС: Потребители ресурсов,Рабочие схемы временных сетей (ППР),Договоры на техприсоединение; Акты балансового разграничения,Превышение запрашиваемой мощности для строймашин над лимитом ПОС.,MEDIUM,Существенное (предписание),number,TRUE
89,POS-089,ПОС,Расположение пунктов мойки колес и выездов,—,Строительный генплан; Посты очистки (ПОС),Схемы организации выездов (ППР),Акты АОСР на устройство выезда; Мойки,Отсутствие или перенос пункта мойки колес в зону без оборотного водоснабжения.,MEDIUM,Существенное (предписание),presence,TRUE
90,POD-090,ПОД,Границы опасных зон развала и обрушения конструкций,м,План сноса; Расчетные зоны (ПОД),Строительный план демонтажа (ППР),Общий журнал работ; Разбивка ограждений (ОКР),Выход зоны развала в ППР за границы участка или на пешеходные зоны.,HIGH,Критическое (приостановка работ),number,TRUE
91,POD-091,ПОД,Методы и технологическая последовательность демонтажа,—,Текст ПОД: Описание методов,Технологические карты на разборку (ППР),Общий журнал работ (фактические технологии),"Самовольное изменение метода (например, с плазменного на обрушение экскаватором).",HIGH,Критическое (приостановка работ),exact_field,TRUE
92,POD-092,ПОД,Мероприятия по защите действующих коммуникаций,—,Схемы защитных коробок (ПОД),Чертежи защитных сооружений (ППР),Акты АОСР на устройство защитных ограждений,Отсутствие в ППР защитных мероприятий для сетей в зоне работы техники.,HIGH,Критическое (приостановка работ),presence,TRUE
93,POD-093,ПОД,Общие объемы демонтируемых конструкций (по типам),м³,Сводная ведомость объемов демонтажа (ПОД),Спецификации и ведомости (ППР),Акт обследования площадки; Реестр фактически демонтированных,Расхождение объемов лома между ПД и РД/ИД > 5%.,MEDIUM,Существенное (предписание),number,TRUE
94,POD-094,ПОД,Масса и класс опасности образующихся отходов,т / Класс,Расчет объемов и классов опасности (ПОД),Регламенты по отходам (ППР),Справки об утилизации; Талоны с полигонов,Превышение объемов опасных отходов в ИД или занижение класса опасности.,MEDIUM,Существенное (предписание),enum,TRUE
95,POD-095,ПОД,Мероприятия по пылеподавлению и снижению шума,—,Текст ПОД: Требования к орошению/экранам,Технологические карты; Места водных пушек (ППР),Журнал производственного экоконтроля (замеры шума/пыли),Отсутствие систем гидроорошения или защитных экранов в РД при демонтаже стен.,MEDIUM,Существенное (предписание),presence,TRUE
96,POD-096,ПОД,Узлы временного расчленения сохраняемых конструкций,—,Чертежи временных подпорок (ПОД),Детальные узлы крепелей; Спецификация (КР/ППР),Акты АОСР на устройство креплений; Фотофиксация,Занижение сечений элементов расчленения в РД; отсутствие актов монтажа.,HIGH,Критическое (приостановка работ),enum,TRUE
97,POD-097,ПОД,Места и габариты площадок временного складирования лома,м²,Строительный генплан демонтажа (ПОД),Зоны накопления бункера (ППР),Исполнительная схема площадки; Записи в ОКР,Складирование тяжелого мусора на бровке котлована или над действующими сетями.,HIGH,Критическое (приостановка работ),number,TRUE
98,OOS-098,ООС,"Регистрация лимитов в АИС ""ОСИГ""",Статус,Проектные ТЭП отходов (ООС),Технологический регламент (ТРПО),"Электронный паспорт в АИС ""ОСИГ""",Начало земляных/демонтажных работ без открытого разрешения на перемещение ОСС.,HIGH,Критическое (приостановка работ),exact_field,TRUE
99,OOS-099,ООС,Верфикация транспортных средств (ГЛОНАСС),Статус,Мероприятия по эко-транспортировке (ООС),Перечень спецтехники (ТРПО),"Логи РНИС; Телеметрия в АИС ""ОСИГ""",Рейс самосвала без ГЛОНАСС-трекера или не зарегистрированного в РНИС.,HIGH,Критическое (приостановка работ),exact_field,TRUE
100,OOS-100,ООС,Фиксация рейсов через мобильный КПТС,Статус,Требования к весовому контролю (ООС),Места размещения постов КПП (ППР),"Лог-данные ""Мобильный КПТС""","Выезд самосвала с отходами без генерации QR-кода в ""Мобильном КПТС"".",HIGH,Критическое (приостановка работ),exact_field,TRUE
